"block","nitrogen","management","variety","yield"
"1","1","0","m1","1",3.32
"2","1","0","m2","1",3.766
"3","1","0","m3","1",4.66
"4","1","50","m1","1",3.188
"5","1","50","m2","1",3.625
"6","1","50","m3","1",5.232
"7","1","80","m1","1",5.468
"8","1","80","m2","1",5.759
"9","1","80","m3","1",6.215
"10","1","110","m1","1",4.246
"11","1","110","m2","1",5.255
"12","1","110","m3","1",6.829
"13","1","140","m1","1",3.132
"14","1","140","m2","1",5.389
"15","1","140","m3","1",5.217
"16","2","0","m1","1",3.864
"17","2","0","m2","1",4.311
"18","2","0","m3","1",5.915
"19","2","50","m1","1",4.752
"20","2","50","m2","1",4.809
"21","2","50","m3","1",5.17
"22","2","80","m1","1",5.788
"23","2","80","m2","1",6.13
"24","2","80","m3","1",7.106
"25","2","110","m1","1",4.842
"26","2","110","m2","1",5.742
"27","2","110","m3","1",5.869
"28","2","140","m1","1",4.375
"29","2","140","m2","1",4.315
"30","2","140","m3","1",5.389
"31","3","0","m1","1",4.507
"32","3","0","m2","1",4.875
"33","3","0","m3","1",5.4
"34","3","50","m1","1",4.756
"35","3","50","m2","1",5.295
"36","3","50","m3","1",6.046
"37","3","80","m1","1",4.422
"38","3","80","m2","1",5.308
"39","3","80","m3","1",6.318
"40","3","110","m1","1",4.863
"41","3","110","m2","1",5.345
"42","3","110","m3","1",6.011
"43","3","140","m1","1",4.678
"44","3","140","m2","1",5.896
"45","3","140","m3","1",7.309
"46","1","0","m1","2",6.101
"47","1","0","m2","2",5.096
"48","1","0","m3","2",6.573
"49","1","50","m1","2",5.595
"50","1","50","m2","2",6.357
"51","1","50","m3","2",7.016
"52","1","80","m1","2",5.442
"53","1","80","m2","2",6.398
"54","1","80","m3","2",6.953
"55","1","110","m1","2",6.209
"56","1","110","m2","2",6.992
"57","1","110","m3","2",7.565
"58","1","140","m1","2",6.86
"59","1","140","m2","2",6.857
"60","1","140","m3","2",7.254
"61","2","0","m1","2",5.122
"62","2","0","m2","2",4.873
"63","2","0","m3","2",5.495
"64","2","50","m1","2",6.78
"65","2","50","m2","2",5.925
"66","2","50","m3","2",7.442
"67","2","80","m1","2",5.988
"68","2","80","m2","2",6.533
"69","2","80","m3","2",6.914
"70","2","110","m1","2",6.768
"71","2","110","m2","2",7.856
"72","2","110","m3","2",7.626
"73","2","140","m1","2",6.894
"74","2","140","m2","2",6.974
"75","2","140","m3","2",7.812
"76","3","0","m1","2",4.815
"77","3","0","m2","2",4.166
"78","3","0","m3","2",4.225
"79","3","50","m1","2",5.39
"80","3","50","m2","2",5.163
"81","3","50","m3","2",4.478
"82","3","80","m1","2",6.509
"83","3","80","m2","2",6.569
"84","3","80","m3","2",7.991
"85","3","110","m1","2",5.779
"86","3","110","m2","2",6.164
"87","3","110","m3","2",7.362
"88","3","140","m1","2",6.573
"89","3","140","m2","2",7.422
"90","3","140","m3","2",8.95
"91","1","0","m1","3",5.355
"92","1","0","m2","3",7.442
"93","1","0","m3","3",7.018
"94","1","50","m1","3",6.706
"95","1","50","m2","3",8.592
"96","1","50","m3","3",8.48
"97","1","80","m1","3",8.452
"98","1","80","m2","3",8.662
"99","1","80","m3","3",9.112
"100","1","110","m1","3",8.042
"101","1","110","m2","3",9.08
"102","1","110","m3","3",9.66
"103","1","140","m1","3",9.314
"104","1","140","m2","3",9.224
"105","1","140","m3","3",10.36
"106","2","0","m1","3",5.536
"107","2","0","m2","3",6.462
"108","2","0","m3","3",8.02
"109","2","50","m1","3",6.546
"110","2","50","m2","3",7.646
"111","2","50","m3","3",9.942
"112","2","80","m1","3",6.698
"113","2","80","m2","3",8.526
"114","2","80","m3","3",9.14
"115","2","110","m1","3",7.414
"116","2","110","m2","3",9.016
"117","2","110","m3","3",8.966
"118","2","140","m1","3",8.508
"119","2","140","m2","3",9.68
"120","2","140","m3","3",9.896
"121","3","0","m1","3",5.244
"122","3","0","m2","3",5.584
"123","3","0","m3","3",7.642
"124","3","50","m1","3",7.092
"125","3","50","m2","3",7.212
"126","3","50","m3","3",8.714
"127","3","80","m1","3",8.65
"128","3","80","m2","3",8.514
"129","3","80","m3","3",9.32
"130","3","110","m1","3",6.902
"131","3","110","m2","3",7.778
"132","3","110","m3","3",9.128
"133","3","140","m1","3",8.032
"134","3","140","m2","3",9.294
"135","3","140","m3","3",9.712
